  STN,YYYYMMDD,   TX
  260,20140915,  228
  260,20140916,  246
  260,20140917,  252
  260,20140918,  253
  260,20140919,  244
  260,20140920,  240
  260,20140921,  192
  260,20140922,  175
  260,20140923,  177
  260,20140924,  165
  260,20140925,  178
  260,20140926,  194
  260,20140927,  202
  260,20140928,  220
  260,20140929,  193
  260,20140930,  209
  260,20141001,  207
  260,20141002,  192
  260,20141003,  222
  260,20141004,  211
  260,20141005,  152
  260,20141006,  161
  260,20141007,  156
  260,20141008,  166
  260,20141009,  180
  260,20141010,  178
  260,20141011,  157
  260,20141012,  162
  260,20141013,  185
  260,20141014,  136
  260,20141015,  184
  260,20141016,  180
  260,20141017,  188
  260,20141018,  230
  260,20141019,  215
  260,20141020,  177
  260,20141021,  140
  260,20141022,  135
  260,20141023,  151
  260,20141024,  126
  260,20141025,  153
  260,20141026,  159
  260,20141027,  170
  260,20141028,  140
  260,20141029,  128
  260,20141030,  156
  260,20141031,  166
  260,20141101,  185
